座|-0.006426151520884671 0.03708433228702904 0.2750533666628645 0.15593915318437046 0.13725319626460633 -0.16369148604087683 -0.0011214047840305784 -0.3936073159984423 0.15583725347686678 0.1467710908017578 0.04583478843715781 0.2394530429999584 -0.44643329157296885 -0.09356707488314558 0.1597231306025826 -0.27632928439635257 0.459971407794139 -0.10676721077266764 -0.24257493642217348 -0.03229252341441058
票价|-0.006611713203971098 0.03738905984824703 0.2749665181610921 0.15564263117571175 0.13716861463012964 -0.16240806080435355 -0.00034516232063842243 -0.39447765746395513 0.15552870761778737 0.1460592149997189 0.045837237125059785 0.23912301927773805 -0.4466926713328972 -0.09404123343994439 0.16021739289339187 -0.27666424566929504 0.45965267694613343 -0.10704878528621584 -0.2423971412130292 -0.03212821950930393
乘降|-0.006775299177695309 0.037657147208105965 0.274888987346267 0.15538078764810948 0.13709362016684296 -0.16127769754830282 0.0003380469978779503 -0.39524197433257896 0.15525689207756116 0.14543201232086572 0.04583944510064146 0.2388315077817316 -0.4469193076981678 -0.09445792587126253 0.16065174718099437 -0.2769579792349788 0.4593704222647754 -0.10729609257647174 -0.24223962259325646 -0.031983432062660494
旅客列车|-0.006919963809950157 0.03789378513464635 0.27481967358839443 0.15514890445811527 0.13702696465439135 -0.16027898151013298 0.0009413286116155414 -0.39591552708936056 0.15501671710285844 0.1448776727577264 0.045841462816658324 0.2385732793678331 -0.4471181438588163 -0.09482535238966779 0.16103475863666042 -0.2772164993417892 0.45911986639198815 -0.10751405835056234 -0.24209973001309984 -0.03185544253518035
儿童|-0.007048252086141522 0.038103281613885355 0.2747576204934837 0.15494302663563608 0.13696759147250387 -0.15939408153853488 0.0014755772975384416 -0.39651094028793366 0.15480392668591225 0.14438635717522882 0.04584332280460367 0.23834395003620926 -0.44729322243727354 -0.095150313771846 0.16137352395266621 -0.2774447662093687 0.4588969611907384 -0.10770675873287566 -0.24197521853748932 -0.03174198573404594
使用|-0.007162300234300795 0.03828923928852555 0.274701995712191 0.1547598172745203 0.13691460114722023 -0.15860804294974018 0.0019499170327535913 -0.39703873934449274 0.1546149395303412 0.14394980915873445 0.045845046481668386 0.2381398200669119 -0.44744787883910747 -0.09543849222225788 0.16167396818658747 -0.2776469036933064 0.4586982596869458 -0.10787759303037898 -0.2418641769337559 -0.031641160515022054
验证|-0.007263913541839304 0.0384546920623186 0.27465207340402714 0.15459644387224544 0.1368672239442758 -0.1579082399007502 0.00237204079203034 -0.39750776248071784 0.1544467242927149 0.14356105432234081 0.04584664841717548 0.2379577481342409 -0.4475848872983209 -0.09569466797012233 0.1619410730625369 -0.27782636566614566 0.4585208130001028 -0.10802941636401368 -0.24176497005261263 -0.03155136062249236
上能|-0.007354627095731471 0.03860221132646735 0.27460721916288505 0.154450488633941 0.13682479790797222 -0.15728394730227438 0.00274847558592763 -0.3979254800592168 0.15429670100313334 0.14321416516122118 0.04584813902462874 0.2377950519786057 -0.44770657245053136 -0.09592288789007512 0.16217905429645885 -0.2779860644805473 0.45836208708989673 -0.10816464255304366 -0.24167619246145366 -0.03147122062219051
取票|-0.007435753677819879 0.038733989334153555 0.27456687719699613 0.1543198770402127 0.13678675118251515 -0.15672600324503413 0.003084791028347447 -0.3982982444972666 0.15416266258481162 0.1429040755634845 0.04584952621409376 0.23764942939433756 -0.44781489547603787 -0.09612659799240975 0.16239150062785476 -0.2781284712091099 0.4582198951712977 -0.10828532462309665 -0.24159663089186587 -0.03139957324939356
途中|-0.007508421820016876 0.038851905232347564 0.27453055941212295 0.15420282061124455 0.13675258765767184 -0.1562265405124153 0.003385764916541152 -0.39863148761483314 0.1540427119540145 0.14262643321756197 0.04585081642507956 0.23751889490020694 -0.44791152127713896 -0.09630874839552027 0.16258148378949547 -0.27825569451392856 0.45809234261663356 -0.1083932184266081 -0.24152523369892634 -0.031335415479267624
